日付,ドル
2014/1/1,105.23
2014/1/2,104.76
2014/1/3,104.82
2014/1/6,104.21
2014/1/7,104.6
2014/1/8,104.83
2014/1/9,104.82
2014/1/10,104.12
2014/1/13,102.98
2014/1/14,104.2
2014/1/15,104.55
2014/1/16,104.34
2014/1/17,104.29
2014/1/20,104.16
2014/1/21,104.3
2014/1/22,104.51
2014/1/23,103.25
2014/1/24,102.28
2014/1/27,102.54
2014/1/28,102.95
2014/1/29,102.28
2014/1/30,102.7
2014/1/31,102.03
2014/2/3,100.97
2014/2/4,101.64
2014/2/5,101.43
2014/2/6,102.08
2014/2/7,102.33
2014/2/10,102.24
2014/2/11,102.63
2014/2/12,102.52
2014/2/13,102.15
2014/2/14,101.77
2014/2/17,101.92
2014/2/18,102.35
2014/2/19,102.31
2014/2/20,102.26
2014/2/21,102.52
2014/2/24,102.47
2014/2/25,102.22
2014/2/26,102.35
2014/2/27,102.11
2014/2/28,101.8
2014/3/3,101.43
2014/3/4,102.2
2014/3/5,102.3
2014/3/6,103.06
2014/3/7,103.25
2014/3/10,103.25
2014/3/11,103
2014/3/12,102.75
2014/3/13,101.83
2014/3/14,101.34
2014/3/17,101.76
2014/3/18,101.42
2014/3/19,102.33
2014/3/20,102.38
2014/3/21,102.23
2014/3/24,102.23
2014/3/25,102.26
2014/3/26,102.03
2014/3/27,102.16
2014/3/28,102.79
2014/3/31,103.19
2014/4/1,103.64
2014/4/2,103.85
2014/4/3,103.91
2014/4/4,103.28
2014/4/7,103.09
2014/4/8,101.79
2014/4/9,101.97
2014/4/10,101.5
2014/4/11,101.59
2014/4/14,101.82
2014/4/15,101.91
2014/4/16,102.22
2014/4/17,102.38
2014/4/18,102.39
2014/4/21,102.61
2014/4/22,102.6
2014/4/23,102.53
2014/4/24,102.3
2014/4/25,102.15
2014/4/28,102.48
2014/4/29,102.61
2014/4/30,102.24
2014/5/1,102.32
2014/5/2,102.18
2014/5/5,102.13
2014/5/6,101.67
2014/5/7,101.9
2014/5/8,101.65
2014/5/9,101.85
2014/5/12,102.11
2014/5/13,102.25
2014/5/14,101.87
2014/5/15,101.56
2014/5/16,101.49
2014/5/19,101.49
2014/5/20,101.31
2014/5/21,101.35
2014/5/22,101.72
2014/5/23,101.96
2014/5/26,101.94
2014/5/27,101.97
2014/5/28,101.83
2014/5/29,101.79
2014/5/30,101.78
2014/6/2,102.36
2014/6/3,102.48
2014/6/4,102.73
2014/6/5,102.38
2014/6/6,102.47
2014/6/9,102.52
2014/6/10,102.35
2014/6/11,102.06
2014/6/12,101.7
2014/6/13,102.05
2014/6/16,101.83
2014/6/17,102.14
2014/6/18,101.91
2014/6/19,101.91
2014/6/20,102.06
2014/6/23,101.93
2014/6/24,101.97
2014/6/25,101.86
2014/6/26,101.73
2014/6/27,101.36
2014/6/30,101.3
2014/7/1,101.52
2014/7/2,101.77
2014/7/3,102.18
2014/7/4,102.1
2014/7/7,101.82
2014/7/8,101.57
2014/7/9,101.62
2014/7/10,101.31
2014/7/11,101.36
2014/7/14,101.53
2014/7/15,101.68
2014/7/16,101.67
2014/7/17,101.15
2014/7/18,101.32
2014/7/21,101.39
2014/7/22,101.46
2014/7/23,101.47
2014/7/24,101.81
2014/7/25,101.82
2014/7/28,101.85
2014/7/29,102.11
2014/7/30,102.78
2014/7/31,102.79
2014/8/1,102.61
2014/8/4,102.58
2014/8/5,102.59
2014/8/6,102.09
2014/8/7,102.09
2014/8/8,102.04
2014/8/11,102.18
2014/8/12,102.25
2014/8/13,102.41
2014/8/14,102.43
2014/8/15,102.34
2014/8/18,102.56
2014/8/19,102.89
2014/8/20,103.73
2014/8/21,103.82
2014/8/22,103.92
2014/8/25,104.03
2014/8/26,104.05
2014/8/27,103.85
2014/8/28,103.7
2014/8/29,104.05
2014/9/1,104.35
2014/9/2,105.07
2014/9/3,104.79
2014/9/4,105.26
2014/9/5,105.08
2014/9/8,106.02
2014/9/9,106.18
2014/9/10,106.82
2014/9/11,107.1
2014/9/12,107.32
2014/9/15,107.16
2014/9/16,107.12
2014/9/17,108.37
2014/9/18,108.69
2014/9/19,109.01
2014/9/22,108.84
2014/9/23,108.88
2014/9/24,109.01
2014/9/25,108.74
2014/9/26,109.27
2014/9/29,109.46
2014/9/30,109.64
2014/10/1,108.87
2014/10/2,108.41
2014/10/3,109.75
2014/10/6,108.78
2014/10/7,108.02
2014/10/8,108.08
2014/10/9,107.83
2014/10/10,107.65
2014/10/13,106.83
2014/10/14,107.04
2014/10/15,105.9
2014/10/16,106.32
2014/10/17,106.87
2014/10/20,106.94
2014/10/21,106.97
2014/10/22,107.14
2014/10/23,108.25
2014/10/24,108.14
2014/10/27,107.81
2014/10/28,108.14
2014/10/29,108.88
2014/10/30,109.2
2014/10/31,112.3
2014/11/3,114.03
2014/11/4,113.58
2014/11/5,114.63
2014/11/6,115.2
2014/11/7,114.53
2014/11/10,114.85
2014/11/11,115.77
2014/11/12,115.47
2014/11/13,115.73
2014/11/14,116.27
2014/11/17,116.64
2014/11/18,116.86
2014/11/19,117.97
2014/11/20,118.2
2014/11/21,117.8
2014/11/24,118.26
2014/11/25,117.97
2014/11/26,117.72
2014/11/27,117.68
2014/11/28,118.61
2014/12/1,118.39
2014/12/2,119.19
2014/12/3,119.77
2014/12/4,119.78
2014/12/5,121.41
2014/12/8,120.67
2014/12/9,119.69
2014/12/10,117.81
2014/12/11,118.65
2014/12/12,118.77
2014/12/15,117.8
2014/12/16,116.39
2014/12/17,118.64
2014/12/18,118.82
2014/12/19,119.49
2014/12/22,120.05
2014/12/23,120.67
2014/12/24,120.48
2014/12/25,120.08
2014/12/26,120.39
2014/12/29,120.65
2014/12/30,119.46
2014/12/31,119.68
2015/1/1,119.77
2015/1/2,120.49
2015/1/5,119.63
2015/1/6,118.39
2015/1/7,119.25
2015/1/8,119.65
2015/1/9,118.5
2015/1/12,118.32
2015/1/13,117.92
2015/1/14,117.32
2015/1/15,116.16
