年月,BC,CI,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
2001年1月,0,94.4 ,106,93,108.7,99.6,128.5,1.4,-0.1,110446,0.65,90.3
2001年2月,0,93.9 ,107.2,93.5,113.1,99.2,130.1,-0.5,-3.7,105431,0.64,92
2001年3月,0,92.6 ,105.4,91.5,113.7,98.7,125.4,1.7,-4.3,100415,0.63,91.5
2001年4月,0,91.5 ,104.3,89.7,112.1,98.1,125,-1.2,-3.2,99717,0.62,89.3
2001年5月,0,90.4 ,102.2,87.7,110.2,99.1,121.7,-1.3,-3.2,99018,0.61,85.9
2001年6月,0,89.9 ,101,86.9,111,99.2,120.7,-2.1,-4.2,98320,0.61,85.4
2001年7月,0,88.4 ,99.4,85.7,111.1,97.6,116.4,-2.6,-4.9,93127,0.6,86.5
2001年8月,0,86.9 ,98.2,84.8,111.7,98.3,112.7,-3.4,-6.9,87935,0.58,85.4
2001年9月,0,85.4 ,96.2,83.9,107.8,97.1,110.8,-2.1,-8.9,82742,0.57,85.2
2001年10月,0,84.7 ,96.1,82.8,110.5,98.2,109.2,-4.3,-6.9,81344,0.54,85.7
2001年11月,0,83.7 ,94.5,82.2,104.6,99.3,109,-2.4,-8.2,79947,0.52,84
2001年12月,0,83.5 ,95.5,83.3,102.7,97.1,110,-5.2,-9,78549,0.51,82.6
2002年1月,0,83.7 ,94.8,83.7,105.9,95.9,107.8,-4.2,-8.8,79152,0.5,87.4
2002年2月,1,84.4 ,96.3,85.8,108.5,97.2,107.3,-5.9,-9.1,79756,0.51,88.5
2002年3月,1,85.1 ,97.1,87.4,107.3,96.2,108.2,-4.9,-10.2,80359,0.52,91.2
2002年4月,1,85.9 ,96.5,89,107.7,96.6,103,-4.1,-4.8,82815,0.52,92.2
2002年5月,1,88.5 ,100.7,92.5,114,97.2,110.5,-2.8,-4.9,85270,0.53,94.1
2002年6月,1,87.5 ,99.6,90.6,109.8,95.6,105.8,-3.1,-7.3,87726,0.53,95.9
2002年7月,1,87.8 ,100.3,91,110.2,98.3,105.3,-5.1,-3.8,88924,0.54,95.9
2002年8月,1,89.2 ,100.6,92.1,112.4,97.7,109,-1.6,-5.3,90123,0.55,95.8
2002年9月,1,89.6 ,101.3,92.9,114.1,96.4,109.8,-2.3,-4.2,91321,0.55,96.4
2002年10月,1,89.9 ,101.4,93.1,113.3,97.5,108,-2.1,-2.5,90748,0.56,95.4
2002年11月,1,90.3 ,101,92.9,118.7,98,107.6,-1.2,-1.2,90175,0.56,98.7
2002年12月,1,89.7 ,100.9,92.1,113.7,96.9,105.8,-2.2,-2.6,89602,0.57,95.5
2003年1月,1,90.7 ,101.4,94.9,114.2,97,106.2,-1.3,-0.5,90332,0.58,95.3
2003年2月,1,91.3 ,101,95,113,97.1,108.2,1,0.5,91061,0.59,97.4
2003年3月,1,91.3 ,101.6,94.8,110.5,96.3,108.1,0.4,0.5,91791,0.6,96
2003年4月,1,90.6 ,100.3,94,113.4,96.1,102.1,-1.1,-0.2,91878,0.61,96.7
2003年5月,1,91.5 ,101.7,95.1,113,99.2,105.1,-0.3,0.1,91965,0.61,95.2
2003年6月,1,91.4 ,100.9,94.4,113.1,97.2,105.7,-0.1,1.6,92052,0.62,96
2003年7月,1,91.8 ,101.6,95.6,112.2,98.3,105.1,-0.7,-1.2,94373,0.63,97.3
2003年8月,1,92.3 ,100.3,95.5,113,96,105,0.2,-0.4,96693,0.65,97.9
2003年9月,1,94.1 ,103.2,96.9,116.4,97.2,108.9,0.3,1.3,99014,0.67,99.6
2003年10月,1,96.0 ,105,99.6,117.2,99.2,111.8,2.4,3.9,102512,0.7,101.6
2003年11月,1,95.3 ,104.7,98.9,115.7,96,108.6,-1.1,-2.3,106011,0.72,102.9
2003年12月,1,97.0 ,104.6,100.1,117.7,97.7,110.1,1.7,2.9,109509,0.75,106.6
2004年1月,1,98.3 ,106.3,102.2,118.2,98.5,114.2,3.3,3.5,111339,0.76,107
2004年2月,1,98.0 ,106.1,101.3,116.5,98,113,4.1,2.3,113170,0.76,107.4
2004年3月,1,97.8 ,105.6,100,116.4,101.7,113.1,0.6,2.1,115000,0.77,108.2
2004年4月,1,98.7 ,107.4,101.9,115.9,100.2,114.6,1.1,5,116914,0.78,110.4
2004年5月,1,99.0 ,107.4,103,117.7,96.4,116.2,-0.4,-1.2,118828,0.8,111.1
2004年6月,1,99.8 ,107.7,102.9,117.2,98,117.1,-0.9,5.2,120742,0.82,110.5
2004年7月,1,101.0 ,109,103.3,123.2,98.7,118.6,2.6,6,121551,0.83,109.8
2004年8月,1,99.9 ,107.8,102.3,114.4,98.1,117.1,-0.4,4.9,122359,0.84,110
2004年9月,1,100.1 ,108,102.3,117.5,98.3,117.4,0.7,1.3,123168,0.86,108.9
